"Identificador do processo de viagem";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000015765738";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170052";"DELEGACIA DA RFB EM JOAO PESSOA";"DIÁRIAS                       ";"67,68"
"0000000000015765742";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170052";"DELEGACIA DA RFB EM JOAO PESSOA";"DIÁRIAS                       ";"67,68"
"0000000000015765773";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"DIÁRIAS                       ";"182,53"
"0000000000015765773";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"1805,88"
"0000000000015765773";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"2074,96"
"0000000000015765872";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"DIÁRIAS                       ";"208,13"
"0000000000015765872";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"3342,94"
"0000000000015765920";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"130007";"SECRETARIA DE DEFESA AGROPECUARIA/MAPA";"DIÁRIAS                       ";"223,86"
"0000000000015766013";"36000";"MINISTERIO DA SAUDE";"36212";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"253002";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"PASSAGEM                      ";"489,01"
"0000000000015766013";"36000";"MINISTERIO DA SAUDE";"36212";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"253002";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"PASSAGEM                      ";"338,49"
