"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000015603562";"Aéreo";"Brasil";"Piauí";"Teresina";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1005,47";",00"
"0000000000015603562";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Piauí";"Teresina";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"690,20";",00"
"0000000000015603601";"Aéreo";"Brasil";"Piauí";"Teresina";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1569,47";",00"
"0000000000015603601";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Piauí";"Teresina";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1010,20";",00"
"0000000000015606199";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Uruguai";"";"Montevidéu";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2559,99";",00"
"0000000000015623942";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"233,17";",00"
"0000000000015623942";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"666,68";",00"
"0000000000015623942";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"336,53";",00"
"0000000000015646242";"Aéreo";"Panamá";"";"Cidade do Panamá";"Estados Unidos da América";"";"Miami";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2416,48";",00"
"0000000000015666333";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2686,63";",00"
"0000000000015666333";"Aéreo";"Bulgária";"";"Sofia";"Portugal";"";"Lisboa";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"818,77";",00"
"0000000000015666342";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2686,63";",00"
"0000000000015666342";"Aéreo";"Bulgária";"";"Sofia";"Portugal";"";"Lisboa";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"823,24";",00"
"0000000000015666348";"Aéreo";"Bulgária";"";"Sofia";"Portugal";"";"Lisboa";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"818,77";",00"
"0000000000015666348";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2686,63";",00"
"0000000000015685570";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"840,17";",00"
"0000000000015685570";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"638,39";",00"
"0000000000015687397";"Aéreo";"Uruguai";"";"Montevidéu";"Paraguai";"";"Assunção";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"906,95";",00"
"0000000000015687509";"Aéreo";"Uruguai";"";"Montevidéu";"Paraguai";"";"Assunção";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"906,95";",00"
"0000000000015687607";"Aéreo";"Uruguai";"";"Montevidéu";"Paraguai";"";"Assunção";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"906,95";",00"
