"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015764663";"1";"20190104";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"20190104";"Brasil";"Rio Grande do Sul";"Garibaldi";"Veículo Oficial";",00";"Sim"
"0000000000015764663";"2";"20190104";"Brasil";"Rio Grande do Sul";"Garibaldi";"20190104";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"Veículo Oficial";",00";"Não"
"0000000000015764670";"1";"20190107";"Brasil";"Distrito Federal";"Brasília";"20190107";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015764670";"2";"20190107";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190107";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015764674";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190103";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015764674";"2";"20190103";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190103";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015764679";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190103";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Próprio";",00";"Sim"
"0000000000015764690";"1";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"20190103";"Brasil";"Minas Gerais";"Betim";"Veículo Oficial";",00";"Sim"
"0000000000015764690";"2";"20190103";"Brasil";"Minas Gerais";"Betim";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015764692";"2";"20190103";"Brasil";"Minas Gerais";"Alfenas";"20190103";"Brasil";"Minas Gerais";"Poços de Caldas";"Veículo Oficial";",00";"Não"
"0000000000015764692";"1";"20190103";"Brasil";"Minas Gerais";"Poços de Caldas";"20190103";"Brasil";"Minas Gerais";"Alfenas";"Veículo Oficial";",00";"Sim"
"0000000000015764699";"1";"20190110";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190110";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Próprio";",00";"Sim"
"0000000000015764700";"1";"20190108";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190108";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Próprio";",00";"Sim"
"0000000000015764702";"1";"20190107";"Brasil";"Distrito Federal";"Brasília";"20190107";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015764702";"2";"20190107";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190107";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015764855";"1";"20190107";"Brasil";"Paraná";"Maringá";"20190107";"Brasil";"Paraná";"Cianorte";"Veículo Oficial";",00";"Sim"
"0000000000015764855";"2";"20190107";"Brasil";"Paraná";"Cianorte";"20190107";"Brasil";"Paraná";"Maringá";"Veículo Oficial";",50";"Não"
"0000000000015764867";"1";"20190102";"Brasil";"Minas Gerais";"Porteirinha";"20190104";"Brasil";"Minas Gerais";"Montes Claros";"Veículo Próprio";",00";"Sim"
"0000000000015764867";"2";"20190104";"Brasil";"Minas Gerais";"Montes Claros";"20190104";"Brasil";"Minas Gerais";"Porteirinha";"Veículo Próprio";",00";"Não"
"0000000000015765024";"1";"20190104";"Brasil";"Paraná";"Paraíso do Norte";"20190104";"Brasil";"Paraná";"Paranavaí";"Veículo Próprio";",00";"Sim"
"0000000000015765024";"2";"20190104";"Brasil";"Paraná";"Paranavaí";"20190104";"Brasil";"Paraná";"Paraíso do Norte";"Veículo Próprio";",00";"Não"
"0000000000015765040";"1";"20190108";"Brasil";"Paraná";"Paraíso do Norte";"20190108";"Brasil";"Paraná";"Paranavaí";"Veículo Próprio";",00";"Sim"
"0000000000015765040";"2";"20190108";"Brasil";"Paraná";"Paranavaí";"20190108";"Brasil";"Paraná";"Paraíso do Norte";"Veículo Próprio";",00";"Não"
"0000000000015765090";"2";"20190104";"Brasil";"Amazonas";"Lábrea";"20190104";"Brasil";"Rondônia";"Porto Velho";"Rodoviário";",00";"Não"
"0000000000015765090";"1";"20190104";"Brasil";"Rondônia";"Porto Velho";"20190104";"Brasil";"Amazonas";"Lábrea";"Rodoviário";",00";"Sim"
"0000000000015765093";"2";"20190104";"Brasil";"Amazonas";"Lábrea";"20190104";"Brasil";"Rondônia";"Porto Velho";"Rodoviário";",00";"Não"
"0000000000015765093";"1";"20190104";"Brasil";"Rondônia";"Porto Velho";"20190104";"Brasil";"Amazonas";"Lábrea";"Rodoviário";",00";"Sim"
"0000000000015765102";"2";"20190107";"Brasil";"Paraná";"Apucarana";"20190107";"Brasil";"Paraná";"Londrina";"Veículo Oficial";",00";"Não"
"0000000000015765102";"1";"20190107";"Brasil";"Paraná";"Londrina";"20190107";"Brasil";"Paraná";"Apucarana";"Veículo Oficial";",00";"Sim"
"0000000000015765103";"2";"20190107";"Brasil";"Paraná";"Apucarana";"20190107";"Brasil";"Paraná";"Londrina";"Veículo Oficial";",00";"Não"
"0000000000015765103";"1";"20190107";"Brasil";"Paraná";"Londrina";"20190107";"Brasil";"Paraná";"Apucarana";"Veículo Oficial";",00";"Sim"
"0000000000015765348";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015765348";"2";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015765405";"1";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Bambuí";"Veículo Oficial";"2,00";"Sim"
"0000000000015765405";"2";"20190109";"Brasil";"Minas Gerais";"Bambuí";"20190111";"Brasil";"Minas Gerais";"Córrego Danta";"Veículo Oficial";"2,00";"Sim"
"0000000000015765405";"3";"20190111";"Brasil";"Minas Gerais";"Córrego Danta";"20190111";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",50";"Não"
"0000000000015765413";"1";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Bambuí";"Veículo Oficial";"2,00";"Sim"
"0000000000015765413";"2";"20190109";"Brasil";"Minas Gerais";"Bambuí";"20190111";"Brasil";"Minas Gerais";"Córrego Danta";"Veículo Oficial";"2,00";"Sim"
"0000000000015765413";"3";"20190111";"Brasil";"Minas Gerais";"Córrego Danta";"20190111";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",50";"Não"
"0000000000015765457";"1";"20190105";"Brasil";"Minas Gerais";"Belo Horizonte";"20190105";"Brasil";"Minas Gerais";"Sabará";"Veículo Oficial";",00";"Sim"
"0000000000015765457";"2";"20190105";"Brasil";"Minas Gerais";"Sabará";"20190105";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015765495";"1";"20190107";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190107";"Brasil";"Rio Grande do Sul";"Ijuí";"Veículo Próprio";",00";"Sim"
"0000000000015765495";"2";"20190107";"Brasil";"Rio Grande do Sul";"Ijuí";"20190107";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Próprio";",00";"Não"
"0000000000015765517";"1";"20190109";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015765517";"2";"20190109";"Brasil";"São Paulo";"São Paulo";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015765528";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190104";"Brasil";"Santa Catarina";"Chapecó";"Veículo Oficial";"1,00";"Sim"
"0000000000015765528";"2";"20190104";"Brasil";"Santa Catarina";"Chapecó";"20190104";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Oficial";",50";"Não"
"0000000000015765532";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190104";"Brasil";"Santa Catarina";"Chapecó";"Veículo Oficial";"1,00";"Sim"
"0000000000015765532";"2";"20190104";"Brasil";"Santa Catarina";"Chapecó";"20190104";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Oficial";",50";"Não"
"0000000000015765620";"2";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Não"
"0000000000015765620";"1";"20190104";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765738";"1";"20190108";"Brasil";"Paraíba";"João Pessoa";"20190108";"Brasil";"Paraíba";"Campina Grande";"Veículo Oficial";",00";"Sim"
"0000000000015765738";"2";"20190108";"Brasil";"Paraíba";"Campina Grande";"20190108";"Brasil";"Paraíba";"João Pessoa";"Veículo Oficial";",50";"Não"
"0000000000015765742";"1";"20190108";"Brasil";"Paraíba";"João Pessoa";"20190108";"Brasil";"Paraíba";"Campina Grande";"Veículo Oficial";",00";"Sim"
